core	model	suite	group	root_opcode	mnemonic	addressing_mode	legal_nmos	scenarios	failures	nmi_first_handler_fetches	brk_irq_first_handler_fetches	nmi_handler_fetches	brk_irq_handler_fetches	hijacks	status
qe6502	nmos	interrupt_arbitration	BRK + NMI hijack windows	0x00	BRK	implied	yes	54	0	34	20	219	34	34	passed
qe6502	nmos	interrupt_arbitration	BRK + IRQ windows	0x00	BRK	implied	yes	54	0	0	54	0	270	0	passed
qe6502	nmos	interrupt_arbitration	IRQ/NMI overlap priority	0xEA	NOP	implied	yes	7	0	7	0	28	0	7	passed
qe6502	nmos	interrupt_arbitration	NMI continuous-low vs re-edge	0xEA	NOP	implied	yes	2	0	2	0	3	0	2	passed
qe6502	nmos	interrupt_arbitration	NMI during NMI service / lost windows	0xEA	NOP	implied	yes	13	0	13	0	18	0	13	passed
qe6502	nmos	interrupt_arbitration	IRQ held during NMI service	0xEA	NOP	implied	yes	2	0	2	0	2	14	0	passed
