core	model	corpus	opcode	mnemonic	addressing_mode	legal_nmos	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x00	BRK	implied	yes	10000	failed	1	10000	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x01	ORA	(zero page,X)	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x02	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x03	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x04	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x05	ORA	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x06	ASL	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x07	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x08	PHP	implied	yes	10000	failed	1	10000	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x09	ORA	immediate	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0A	ASL	accumulator	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0B	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0C	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0D	ORA	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0E	ASL	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x0F	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x10	BPL	relative	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x11	ORA	(zero page),Y	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x12	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x13	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x14	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x15	ORA	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x16	ASL	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x17	???	illegal	no	10000	passed	0	0	passed	0	0	unsupported	0	0
mame	NMOS 6502	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x18	CLC	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
