suite	core	model	test	status	detail
group2	sflib65c02	65C02	IRQ held masked then CLI accepts	pass	
group2	sflib65c02	65C02	SEI masks held IRQ	pass	
group2	sflib65c02	65C02	RTI I variants with held IRQ	pass	
group2	sflib65c02	65C02	second NMI assertion after RTI	pass	
group2	sflib65c02	65C02	NMI priority over IRQ	pass	
group2	sflib65c02	65C02	NMI then held IRQ after RTI	pass	
group2	sflib65c02	65C02	NMI inside IRQ handler	pass	
group2	sflib65c02	65C02	held IRQ does not enter inside NMI	pass	
group2	sflib65c02	65C02	modified vectors are used	pass	
group2	sflib65c02	65C02	pushed status pattern variants	pass	
group2	sflib65c02	65C02	held NMI assertion generates single NMI	pass	
group2	sflib65c02	65C02	held IRQ retriggers after RTI when I clear	pass	
group2	sflib65c02	65C02	CLI pending IRQ observable delay	pass	
