suite	core	model	test	status	detail
group1	applewin	nmos	reset vector routing	pass	
group1	applewin	nmos	I flag after reset	pass	
group1	applewin	nmos	IRQ masked after reset	pass	
group1	applewin	nmos	NMI accepted after reset	pass	
group1	applewin	nmos	assert_nmi_for is not synchronous	pass	
group1	applewin	nmos	assert_irq_for is not synchronous	pass	
group1	applewin	nmos	IRQ masked when I=1	pass	
group1	applewin	nmos	IRQ accepted when I=0	pass	
group1	applewin	nmos	IRQ deasserted before unmask	pass	
group1	applewin	nmos	NMI ignores I	pass	
group1	applewin	nmos	NMI/IRQ RTI resumes	pass	
group1	applewin	nmos	BRK vector and RTI	pass	
group1	applewin	nmos	pushed B bits and live I	pass	
group1	applewin	nmos	PLP changes IRQ mask	pass	
group1	applewin	nmos	RTI restores PC and P	pass	
group1	applewin	nmos	distinct vectors and endian	pass	
group1	applewin	nmos	non-default SP interrupt stack	pass	
group1	applewin	nmos	PHP vs interrupt B flag	pass	
group1	applewin	nmos	decimal flag preserved	pass	
