core	model	corpus	opcode	mnemonic	addressing_mode	legal_nmos	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x37	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x38	SEC	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x39	AND	absolute,Y	yes	10000	passed	0	0	failed	1	4921	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3A	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3B	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3C	???	illegal	no	10000	failed	1	8790	failed	1	4987	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3D	AND	absolute,X	yes	10000	passed	0	0	failed	1	4997	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3E	ROL	absolute,X	yes	10000	failed	1	1	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x3F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x40	RTI	implied	yes	10000	failed	1	7495	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x41	EOR	(zero page,X)	yes	10000	failed	1	42	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x42	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x43	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x44	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x45	EOR	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x46	LSR	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x47	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x48	PHA	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x49	EOR	immediate	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4A	LSR	accumulator	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4B	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4C	JMP	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4D	EOR	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4E	LSR	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x4F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x50	BVC	relative	yes	10000	passed	0	0	failed	1	1286	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x51	EOR	(zero page),Y	yes	10000	failed	1	31	failed	1	5130	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x52	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x53	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x54	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x55	EOR	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x56	LSR	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x57	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x58	CLI	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x59	EOR	absolute,Y	yes	10000	passed	0	0	failed	1	4958	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5A	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5B	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
